x,y,能耗,距离
3.892016787341631,7.896181427945539,6.194133491223536,8.803265065643606
0.1083765148029836,0.9120610304869037,7.209018151639845,0.9184774315646922
9.053819764192637,4.944203047025814,2.1416938140304502,10.315851690127412
0.9128667678613356,0.5755876001664428,4.844107361794455,1.0791787717199437
3.1931363759041487,5.495288823237355,4.449655488535696,6.355652536594467
9.50061967050805,4.41530501373377,3.2631599652772545,10.476482830031605
9.506071469375561,8.877041827582998,7.630340501826349,13.006431731629322
5.734378881232861,3.5091501255207866,3.4449579324313366,6.722888944268825
6.318372121697992,1.1706701642760586,1.9311606902254277,6.425908099387706
4.4844552197831975,1.4299168205283586,2.4193947894802807,4.706909892049209
2.9321077169806453,7.615106317174723,6.914753804105489,8.160091904252784
3.2866454536991596,6.182180633162611,4.590290750021122,7.001528098877574
6.725184560770384,1.0112267612279024,1.0077402651473237,6.800785758943434
7.5237452943768,0.8410680611499743,0.9831245077949456,7.570610195891981
7.915790437258485,7.009691314591199,5.415426994213387,10.573339613028997
