x1,x2,目标1,目标2
0.0,10.0,19.55348504793298,43.276907661479804
0.4166666666666667,9.583333333333334,21.27306546099014,31.528746578609514
0.8333333333333334,9.166666666666668,21.04742707746354,26.678433068668873
1.25,8.75,20.00426122128801,20.16890935651269
1.6666666666666667,8.333333333333334,21.83984759251785,16.801177973714523
2.0833333333333335,7.916666666666667,22.46865071306217,19.12453125557608
2.5,7.5,21.616142563798867,2.8982044222247563
2.916666666666667,7.083333333333334,23.070391772612197,7.572669460012429
3.3333333333333335,6.666666666666667,23.391542051779336,-1.6159253913467326
3.75,6.25,22.607029702169378,0.2092044026316997
4.166666666666667,5.833333333333334,24.52445402701495,3.98907401312432
4.583333333333334,5.416666666666667,25.14411785970157,0.7067289461752764
5.0,5.0,26.083051243175277,-2.2332343337879186
5.416666666666667,4.583333333333334,26.47046871870157,0.034644427775649245
5.833333333333334,4.166666666666667,24.455663965376246,6.094348802359583
6.25,3.75,25.312174960084878,4.43390010484859
6.666666666666667,3.3333333333333335,27.181701933875328,10.538264657634814
7.083333333333334,2.916666666666667,27.597119284245544,13.983937741933664
7.5,2.5,28.015047686306048,16.54519895718255
7.916666666666667,2.0833333333333335,31.76939815732139,30.2790544901982
8.333333333333334,1.6666666666666667,28.9042238440265,31.790645955842923
8.75,1.25,29.885565640180598,30.549572240027178
9.166666666666668,0.8333333333333334,30.120668430159874,44.614918499863855
9.583333333333334,0.4166666666666667,30.23472458463913,50.195196161250394
10.0,0.0,29.684730755359656,63.55730000438867
