x,y
1,7.983570765056164
2,7.308678494144077
3,13.738442690503462
4,20.61514928204013
5,14.32923312638332
6,16.8293152152541
7,28.396064077536955
8,26.837173645764544
9,23.15262807032524
10,30.712800217929825
11,28.182911535937688
12,30.671351232148716
13,36.70981135783017
14,28.43359877671101
15,31.875410837434835
16,40.188562353795135
17,40.43584439832788
18,49.57123666297637
19,45.95987962239394
20,45.93848149332354
21,62.82824384460777
22,56.87111849756732
23,60.837641023439616
24,55.87625906893272
25,62.77808637737409
26,68.55461294854933
27,64.74503211288848
28,74.87849009172837
29,72.49680655040598
30,76.54153125103362
31,77.49146693885301
32,92.26139092254469
33,85.43251387631032
34,82.71144535522049
35,94.61272456051594
36,86.89578175014489
37,96.54431797502377
38,88.20164938060113
39,93.85906975550785
40,103.98430617934562
41,109.19233289997705
42,108.85684140594985
43,109.9217585880588
44,111.49448152205356
45,108.10739004816287
46,114.40077895802645
47,118.19680614520107
48,128.28561113109458
49,127.21809144784231
50,119.18479922318633
